NomeAnonimo,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,26,27,28,31,Presença,Falta
Nome103,F,F,F,P,F,F,F,F,p,F,P,F,F,p,P,F,p,P,F,7.0,12.0
Nome104,F,P,P,F,P,P,P,P,F,p,P,P,P,p,P,p,P,p,P,16.0,3.0
Nome105,F,F,F,F,P,F,F,F,P,P,P,P,F,P,P,F,P,F,F,8.0,11.0
Nome106,P,P,F,F,P,P,P,P,P,p,P,P,P,F,P,p,P,F,F,14.0,5.0
Nome107,F,P,P,F,P,P,F,F,P,F,P,p,F,p,P,p,F,P,P,12.0,7.0
Nome108,F,P,F,P,F,F,F,F,P,F,F,P,P,F,F,F,P,F,F,6.0,13.0
Nome109,F,F,F,P,P,P,P,P,P,p,P,P,P,p,p,p,P,F,F,14.0,5.0
Nome110,F,P,p,P,P,F,F,P,F,p,P,F,F,F,P,p,F,P,F,10.0,9.0
Nome111,P,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1.0,18.0
Nome112,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome113,P,P,P,F,P,P,P,P,P,F,F,P,P,p,P,F,F,P,P,14.0,5.0
Nome114,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome115,F,F,P,F,P,P,P,P,P,p,P,P,P,p,P,p,P,F,P,15.0,4.0
Nome116,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome117,F,F,F,F,F,F,P,F,F,F,p,P,P,F,F,F,F,F,F,4.0,15.0
Nome118,P,P,P,p,P,P,P,P,P,p,P,P,P,p,P,p,p,p,P,19.0,0.0
Nome119,F,P,P,F,P,P,P,P,P,p,P,P,P,F,P,p,P,p,P,16.0,3.0
Nome120,F,P,F,F,P,P,F,P,p,F,F,P,P,p,F,F,F,F,F,8.0,11.0
Nome121,F,P,P,F,P,P,P,P,P,p,P,P,P, p,P,p,P,P,P,16.0,2.0
Nome122,F,F,F,F,P,P,P,P,P,p,P,p,p,p,P,p,P,p,P,15.0,4.0
Nome123,F,P,P,P,P,F,P,P,P,F,P,P,F,P,F,p,F,p,F,12.0,7.0
Nome124,F,p,F,p,F,p,F,F,F,F,F,F,F,p,p,p,F,F,p,7.0,12.0
Nome125,F,P,F,P,P,P,P,P,F,F,F,F,F,P,p,P,p,P,P,12.0,7.0
Nome126,F,P,F,P,P,P,P,F,P,p,P,P,F,F,F,p,p,P,P,13.0,6.0
Nome127,F,P,F,P,P,F,P,P,F,F,F,F,F,P,F,P,p,P,F,9.0,10.0
Nome128,F,P,P,F,F,F,P,F,P,p,P,P,P,p,F,p,F,F,F,10.0,9.0
Nome129,P,P,P,P,P,F,P,P,P,p,P,P,P,p,P,p,P,F,F,16.0,3.0
Nome130,P,F,P,P,P,F,F,P,P,F,P,F,F,P,F,F,F,F,F,8.0,11.0
Nome131,F,P,F,F,P,P,F,F,F,F,F,P,P,F,F,F,P,P,F,7.0,12.0
Nome132,F,P,p,F,F,F,P,F,P,P,P,F,P,p,P,p,P,P,F,12.0,7.0
Nome133,P,P,P,F,P,P,P,P,P,P,P,P,P,p,P,p,P,F,F,16.0,3.0
Nome134,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome135,F,F,F,F,F,F,F,F,F,F,P,F,F,F,F,F,P,F,P,3.0,16.0
Nome136,P,P,P,P,P,F,P,P,P,p,P,P,P,F,P,p,F,F,P,15.0,4.0
Nome137,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.0,19.0
Nome138,F,P,F,P,P,P,P,F,P,p,F,P,P,P,P,p,p,F,P,14.0,5.0
Nome139,P,P,P,F,P,P,P,P,F,p,P,p,P,P,P,P,F,P,P,16.0,3.0
Nome140,F,P,P,F,P,P,P,F,P,p,P,P,P,p,p,F,F,F,F,12.0,7.0
Nome141,F,P,P,F,F,P,F,F,F,F,P,P,F,F,F,F,F,p,P,7.0,12.0
Nome142,P,P,F,P,P,F,F,F,P,F,P,F,P,F,P,p,F,F,P,10.0,9.0
Nome143,F,F,F,P,P,F,P,F,p,P,p,F,P,P,F,p,P,P,F,11.0,8.0
